date,year,serial,total_death_missing,cause_of_death,collapsed_cause,collapsed_region,number_children,lon,lat,random
2017-05-19,2017,2017.MMP00387,1,Mixed or unknown,Mixed or unknown,Northern Africa,,14.415831,24.98837714,0.13857147276081094
2017-05-19,2017,2017.MMP00388,1,Mixed or unknown,Mixed or unknown,North America,,-112.149283,31.98845,0.49372928415338047
2017-05-19,2017,2017.MMP00390,1,Drowning,Drowning,Mediterranean,,-2.9471167,35.3142067,0.45546937163700707
2017-05-19,2017,2017.MMP00391,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Europe,,6.98589793,43.5488264,0.29620566518944735
2017-05-21,2017,2017.MMP00393,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",Southern Asia,,57.6439048,29.4850089,0.10334582921749269
2017-05-21,2017,2017.MMP00394,1,Drowning,Drowning,Central America,,-99.4534926,27.496868,0.014198890952512144
2017-05-21,2017,2017.MMP00395,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Southern Asia,,57.6439048,29.4850089,0.4424375782651613
2017-05-22,2017,2017.MMP00396,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Southern Asia,,57.6439048,29.4850089,0.6720948065326542
2017-05-22,2017,2017.MMP00397,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",North America,,-98.1343864,27.1688614,0.7894843925427735
2017-05-22,2017,2017.MMP00398,1,Drowning,Drowning,North America,,-97.9016701,26.1372696,0.2231762852605219
2017-05-23,2017,2017.MMP00399,1,Violence,Violence,Western Asia,,36.2484529,36.0267789,0.5987066526379139
2017-05-24,2017,2017.MMP00400,1,Accidental death,Accidental death,Eastern Asia,,113.922005,22.22350536,0.8854282213396727
2017-05-24,2017,2017.MMP00401,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Europe,,6.98660195,43.54884166,0.17153064162796183
2017-05-24,2017,2017.MMP00402,1,Mixed or unknown,Mixed or unknown,Mediterranean,,12.28234431,37.34130915,0.3027800939755245
2017-05-25,2017,2017.MMP00403,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",North America,,-112.3889235,33.4566486,0.41460693454437036
2017-05-25,2017,2017.MMP00404,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",North America,,-112.40016,31.80328,0.7107897517123047
2017-05-25,2017,2017.MMP00405,1,Mixed or unknown,Mixed or unknown,North America,,-98.18069458,27.0108273,0.09294270811392935
2017-05-26,2017,2017.MMP00407,1,Mixed or unknown,Mixed or unknown,Mediterranean,,13.2591025,35.2655099,0.24418081529032265
2017-05-26,2017,2017.MMP00409,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,North America,,-100.514183,28.6919315,0.7508786034605397
2017-05-26,2017,2017.MMP00410,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",North America,,-96.3547818,48.9112874,0.219238074521237
2017-05-26,2017,2017.MMP00411,1,Drowning,Drowning,Mediterranean,,12.566804,32.795371,0.9723290208723516
2017-05-26,2017,2017.MMP00415,1,Sickness / lack of access to adequate healthcare,Sickness / lack of access to adequate healthcare,Southern Asia,,77.247466,28.58381,0.6034501689897054
2017-05-27,2017,2017.MMP00418,1,Mixed or unknown,Mixed or unknown,Mediterranean,,11.3382081,36.0163981,0.26789912174505126
2017-05-27,2017,2017.MMP00419,1,Mixed or unknown,Mixed or unknown,North America,,-113.13601,32.41068,0.9594968829483448
2017-05-27,2017,2017.MMP00420,1,Mixed or unknown,Mixed or unknown,North America,,-113.13165,32.54941,0.8633391168969906
2017-05-27,2017,2017.MMP00421,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Central America,,-96.2979667,18.2924915,0.09340730276701015
2017-05-28,2017,2017.MMP00423,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Northern Africa,,13.712706,25.58439303,0.8651969907877366
2017-05-28,2017,2017.MMP00425,1,Violence,Violence,Northern Africa,,14.4490398,27.0087129,0.5520367183511963
2017-05-28,2017,2017.MMP00426,1,Violence,Violence,Southern Asia,,63.043307,29.20885,0.3500306779296838
2017-05-29,2017,2017.MMP00427,1,Violence,Violence,Western Africa,,8.23547459,19.08848603,0.5189612284649872
2017-05-29,2017,2017.MMP00428,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Central America,,-101.4323641,26.7865583,0.04605946994680998
2017-05-29,2017,2017.MMP00431,1,Mixed or unknown,Mixed or unknown,North America,,-113.174067,32.757533,0.10248560063058809
2017-05-29,2017,2017.MMP00432,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",North America,,-100.4589115,28.7126267,0.7873558590612326
2017-05-30,2017,2017.MMP00433,1,Drowning,Drowning,Central America,,-99.4540452,27.5376177,0.8235064751886776
2017-05-30,2017,2017.MMP00434,1,Drowning,Drowning,Central America,,-98.365442,26.1025497,0.5168143059355115
2017-05-30,2017,2017.MMP00437,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Southern Asia,1,58.337468,29.0984956,0.17616965447911892
2017-05-30,2017,2017.MMP00438,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Southern Asia,,54.3568562,31.8974232,0.3152075141956252
2017-05-31,2017,2017.MMP00440,1,Mixed or unknown,Mixed or unknown,North America,,-113.13721,32.4503,0.159213932067084
2017-05-31,2017,2017.MMP00441,1,Mixed or unknown,Mixed or unknown,North America,,-113.13195,32.43983,0.5874891902515493
2017-05-31,2017,2017.MMP00442,1,Mixed or unknown,Mixed or unknown,North America,,-113.12862,32.43381,0.45803675609605965
2017-05-31,2017,2017.MMP00446,1,Mixed or unknown,Mixed or unknown,Northern Africa,,13.18172526,32.88490295,0.2096099714670283
2017-06-01,2017,2017.MMP00449,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Europe,,23.7261772,37.9603066,0.23536543987439296
2017-06-01,2017,2017.MMP00450,1,Mixed or unknown,Mixed or unknown,Central America,,-102.2144018,25.4508878,0.166695367435711
2017-06-02,2017,2017.MMP00451,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",Western Asia,,44.190806,37.942871,0.9119628665976796
2017-06-03,2017,2017.MMP00453,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Northern Africa,,12.71280693,32.78034885,0.6541015327386326
2017-06-06,2017,2017.MMP00463,1,Mixed or unknown,Mixed or unknown,North America,,-112.16165,31.882383,0.4386234089167298
2017-06-07,2017,2017.MMP00464,1,Violence,Violence,North America,,-112.671433,32.601267,0.9485138354042855
2017-06-08,2017,2017.MMP00466,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",North America,,-111.339419,32.034241,0.5111951816119344
2017-06-08,2017,2017.MMP00467,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Europe,,12.0702646,47.9228547,0.08079875775091327
2017-06-09,2017,2017.MMP00468,1,Drowning,Drowning,Mediterranean,1,-2.1710412,36.7463917,0.7699358470250011
2017-06-09,2017,2017.MMP00469,1,Drowning,Drowning,Mediterranean,,-1.9029405,36.9535799,0.4608590470024927
2017-06-09,2017,2017.MMP00470,1,Mixed or unknown,Mixed or unknown,Western Africa,,12.7798059,19.12634,0.8649359259515523
2017-06-09,2017,2017.MMP00471,1,Violence,Violence,Mediterranean,,13.1020327,32.8768429,0.9038218632160946
2017-06-10,2017,2017.MMP00474,1,Drowning,Drowning,Mediterranean,,14.06267391,34.89587354,0.4862532071610721
2017-06-10,2017,2017.MMP00475,1,Drowning,Drowning,Mediterranean,,14.06267391,34.89587354,0.21083783735814277
2017-06-10,2017,2017.MMP00476,1,Drowning,Drowning,Central America,,-100.5216602,28.6791752,0.33564247024865823
2017-06-11,2017,2017.MMP00477,1,Sickness / lack of access to adequate healthcare,Sickness / lack of access to adequate healthcare,Western Africa,,-5.6983979,11.3223834,0.849782314905899
2017-06-12,2017,2017.MMP00478,1,Sickness / lack of access to adequate healthcare,Sickness / lack of access to adequate healthcare,Western Africa,,7.986535,16.9741689,0.9257330152239513
2017-06-12,2017,2017.MMP00479,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",North America,,-111.42261,31.76012,0.0410323440855882
2017-06-12,2017,2017.MMP00480,1,Mixed or unknown,Mixed or unknown,North America,,-112.5273,32.31955,0.5830698549865287
2017-06-12,2017,2017.MMP00481,1,Drowning,Drowning,North America,,-115.52908291,32.66452279,0.9059447609738076
2017-06-13,2017,2017.MMP00484,1,Mixed or unknown,Mixed or unknown,Mediterranean,,13.31546174,35.50448413,0.6313618645956045
2017-06-13,2017,2017.MMP00485,1,Drowning,Drowning,Mediterranean,,12.45651353,32.81566588,0.1751301734741273
