date,serial,total_death_missing,cause_of_death,collapsed_region,number_children,lon,lat,random
2018-04-09,2018.MMP00391,36,Drowning,Mediterranean,,35.56532431,-6.015228714,0.21758197567796356
2021-05-30,2021.MMP0335,36,Drowning,Northern Africa,2,33.01479981,12.54897854,0.044617945602542175
2022-01-27,2022.MMP00049,36,Drowning,Mediterranean,,33.78381033,11.4102882,0.302503861981267
2014-06-18,2014.MMP00123,35,Drowning,South-eastern Asia,1,4.66259,100,0.2988180680425945
2016-01-26,2016.MMP00089,35,Drowning,South-eastern Asia,,1.5296432,104.2036279,0.2791175337930929
2017-04-18,2017.MMP00316,35,Drowning,Mediterranean,,35.0991392,13.0488502,0.13283425079649014
2017-07-08,2017.MMP00615,35,Drowning,Mediterranean,7,33.6262223,12.9583415,0.8990352773332853
2017-08-09,2017.MMP00717,35,Drowning,Western Asia,29,13.29441247,46.52724833,0.7556856826289915
2018-01-27,2018.MMP00095,35,"Drowning,Mixed or unknown",Mediterranean,3,34.7509219,13.5351563,0.30251332526627683
2020-11-15,2020.MMP00935,35,Drowning,Western Africa,,16.73450615,-22.845940148,0.6243014392671349
2022-04-15,2022.MMP0368,35,Drowning,Mediterranean,,32.89145977,12.487412,0.3583975633060903
2015-12-16,2015.MMP00724,34,Mixed or unknown,Northern Africa,,23.321289,21.866882,0.552207814256541
2016-06-12,2016.MMP00552,34,"Harsh environmental conditions / lack of adequate shelter, food, water",Western Africa,20,19.3862108,5.7323297,0.19967610344388786
2016-10-27,2016.MMP007601,34,Mixed or unknown,Mediterranean,,34.2533716,14.4988153,0.2950386362550128
2017-11-06,2017.MMP01099,34,Drowning,Mediterranean,1,34.34185915,13.82854533,0.9971005445046406
2018-10-01,2018.MMP01264,34,Drowning,Mediterranean,,35.423044,-2.739259,0.5135304082395438
2018-10-08,2018.MMP01294,34,Drowning,Mediterranean,,38.7984375,26.51754452,0.6575466074912968
2021-05-31,2021.MMP00868,34,Mixed or unknown,North America,,27.247328,-98.126699,0.6558476979886341
2015-12-01,2015.MMP00674,33,Drowning,Mediterranean,6,38.325725,26.289227,0.23465595699166641
2017-04-16,2017.MMP00304,33,Drowning,Mediterranean,1,35.0991392,13.0488502,0.15842247535666099
2018-08-29,2018.MMP01092,33,Drowning,Western Asia,,13.92881241,48.99384533,0.45510348402836565
2019-11-14,2019.MMP01621,33,Vehicle accident / death linked to hazardous transport,Southern Asia,,28.2314235,61.19276,0.6187457830225809
2020-12-12,2020.MMP01006,33,Drowning,South America,5,10.52125804,-62.1480778957,0.28284742090546655
2022-09-08,2022.MMP1118,33,Drowning,Mediterranean,,35.88502065,15.225458,0.24023616785263857
2022-10-02,2022.MMP1139,33,Drowning,Northern Africa,,26.33427,-17.782911,0.49031998206216376
2016-04-17,2016.MMP00377,32,Mixed or unknown,Mediterranean,,35.5012182,12.5050901,0.32722580868479767
2017-01-19,2017.MMP00081,32,Mixed or unknown,Northern Africa,,29.8322059,16.3455892,0.7644642203804892
2019-06-09,2019.MMP00773,32,Drowning,Caribbean,,11.772904481,-68.683061165,0.6769972989366835
2020-01-11,2020.MMP00039,32,Drowning,Mediterranean,,39.2068815,20.2246673717,0.045700189644593214
2020-12-08,2020.MMP01000,32,Drowning,Western Africa,,18.10005747,-16.7235980141,0.9076856591181386
2022-09-28,2022.MMP1125,32,Drowning,Mediterranean,,30.65639718,18.342872,0.876257549423771
2017-01-23,2017.MMP00099,31,Drowning,South-eastern Asia,,2.108667,104.0113461,0.20909742024025646
2017-10-08,2017.MMP00980,31,Drowning,South-eastern Asia,11,20.77473304,92.34577413,0.823148676637079
2017-11-25,2017.MMP01178,31,Drowning,Mediterranean,3,32.80195944,13.72078687,0.13660338969885277
2018-11-05,2018.MMP01441,31,Mixed or unknown,Mediterranean,,35.53795851,-2.934664072,0.7441740615063606
2019-02-02,2019.MMP00138,31,Drowning,Caribbean,,26.510686693,-76.937172306,0.63161940690002
2019-12-16,2019.MMP01788,31,Mixed or unknown,Mediterranean,,35.575701636,-3.324309453,0.7580216974110392
2020-06-08,2020.MMP00359,31,Mixed or unknown,South-eastern Asia,,5.98316004,99.9323089688,0.32446479437461373
2021-12-25,2021.MMP0306,31,Drowning,Mediterranean,1,33.01479981,12.54897854,0.5090016262513135
2022-08-10,2022.MMP0920,31,Drowning,Mediterranean,,35.037054,28.611105,0.48172918030808165
2014-11-11,2014.MMP00241,30,Drowning,Eastern Africa,,12.36166,43.52799,0.643383807371263
2014-12-24,2014.MMP00254,30,Mixed or unknown,Mediterranean,,34.3071,16.6113,0.6683370769543393
2015-07-10,2015.MMP00229,30,Drowning,Mediterranean,,32.75,13.7167,0.6370744923263156
2015-10-20,2015.MMP00533,30,"Harsh environmental conditions / lack of adequate shelter, food, water",Northern Africa,,20.6081929,23.999395,0.8513729960803005
2016-02-21,2016.MMP00204,30,Vehicle accident / death linked to hazardous transport,Northern Africa,,26.1395652,14.7267866,0.749370469058092
2016-10-03,2016.MMP007497,30,Drowning,Mediterranean,,32.878302,12.3868145,0.45426720030920165
2016-10-10,2016.MMP007515,30,Vehicle accident / death linked to hazardous transport,Northern Africa,,12.0521564,24.8744624,0.33990562723863627
2016-10-20,2016.MMP007561,30,Vehicle accident / death linked to hazardous transport,Northern Africa,,23.285107,31.5204557,0.5863507805719008
2016-10-22,2016.MMP007584,30,Mixed or unknown,Mediterranean,1,34.2533716,14.4988153,0.7833526054878399
